Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
ThingDef&APM_Projectile_Hook.label	hook							钩爪				крюк	гак		鉤爪														
AbilityDef&APM_ShieldCharge.label	Shield Charge							盾击冲锋				Таран щитом	Таран щитом		盾擊衝鋒														
AbilityDef&APM_ShieldCharge.description	Charge at a pawn, stunning everything hit on the way.							向一个小人发起冲锋，将沿途撞到的一切都击晕。				Броситься на пешку, оглушая все на своем пути.	Ринутися на пішку, оглушуючи все на своєму шляху.		向一個小人發起衝鋒，將沿途撞到的一切都擊暈。														
AbilityDef&APM_Bladehopp.label	Bladehopp							刃跃				Прорыв лезвий	Стрибок лез		刃躍														
AbilityDef&APM_Bladehopp.description	The mantis lunges forward, executing a brutal slash on a chosen target.							螳螂向前突进，对所选目标施以凶狠的斩击。				Совершить рывок к цели с последующей быстрой атакой.	Богомол рветься вперед, завдаючи жорстокого розмашистого удару по вибраній цілі.		螳螂向前突進，對所選目標施以兇狠的斬擊。														
AbilityDef&APM_BlindingLaser.label	Blinding Laser							致盲激光				Ослепляющий лазер	Засліплюючий лазер		致盲雷射														
AbilityDef&APM_BlindingLaser.description	Fire a laser at target, effectively blinding them for a short time.							向目标发射激光，使其在短时间内被有效致盲。				Выстрелить лазером по цели, эффективно ослепляя ее на короткое время.	Вистрілити лазером по цілі, фактично засліплюючи її на короткий час.		向目標發射雷射，使其在短時間內被有效致盲。														
HediffDef&APM_LaserBlind.label	blinded by laser							被激光致盲				ослеплён лазером	осліплений лазером		被雷射致盲														
HediffDef&APM_LaserBlind.description	Vastly reduced sight capacity due to been blinded by laser.							暴露于致盲激光后，视野大幅减弱。				Зрение резко ухудшается после воздействия ослепляющего лазера.	Здатність бачити сильно знижена через осліплення лазерним променем.		暴露於致盲雷射後，視野大幅減弱。														
AbilityDef&APM_Starfall.label	Starfall							星落				Звездопад	Зорепад		星落														
AbilityDef&APM_Starfall.description	Ravager overcharges its artillery and launches a single heavy shell that splits into three energy blasts while still in flight.							蹂躏者超载自己的火炮，发射出一枚重型炮弹，炮弹在飞行途中直接分裂为三道能量爆轰。				Опустошитель перегружает свою артиллерию и выпускает единый тяжелый снаряд, который прямо в полете разделяется на три энергетических взрыва.	Спустошувач перевантажує свою артилерію і випускає єдиний важкий снаряд, який просто в польоті розділяється на три енергетичні вибухи.		蹂躪者超載自己的火炮，發射出一枚重型炮彈，炮彈在飛行途中直接分裂為三道能量爆轟。														
AbilityDef&APM_DefenceMatrix.label	Defence Matrix							防御矩阵				Защитная матрица	захисна матриця		防禦矩陣														
AbilityDef&APM_DefenceMatrix.description	Remotely project a personal defense shield onto a same-faction pawn. The shield stops incoming damage, but also prevents shooting out. The tinker will be focused on projecting the shield.							为同派系殖民者投射个人防御护盾。护盾阻挡外来伤害，并阻止目标向外射击。				Удаленно проецирует персональный защитный щит на пешку своей фракции. Щит останавливает входящий урон, но также мешает вести стрельбу изнутри. Тинкер будет сосредоточен на поддержании щита.	Віддалено спроєктувати персональний захисний щит на дружнього персонажа. Щит зупиняє вхідний урон, але при цьому не дозволяє вести вогонь назовні. Це може бути корисним, навіть якщо щит накладено на ворога. При цьому Майстер буде повністю зосереджений на підтримці щита.		為同派系殖民者投射個人防禦護盾。護盾阻擋傷害，並阻止目標向外射擊。														
AbilityDef&APM_Ability_SteelDiscipline.label	Steel Discipline							钢铁纪律				Стальная дисциплина	сталева дисципліна		鋼鐵紀律														
AbilityDef&APM_Ability_SteelDiscipline.description	In a radius around the Vassal, its allies gain a speed boost and their mental break chance is reduced if organic. The Vassal's commanding presence inspires those nearby with renewed purpose and fortitude.							在附庸周围的半径内，其盟友获得速度加成，若为有机体则精神崩溃几率降低。附庸的统御气场以全新的目标感与坚韧激励着身边的同伴。				В радиусе вокруг Вассала его союзники получают бонус к скорости, а их шанс нервного срыва снижается (если они органические). Командующее присутствие Вассала вдохновляет окружающих новыми силами и стойкостью.	У радіусі навколо Васала його союзники отримують бонус до швидкості, а в органічних знижується шанс нервового зриву. Командна присутність Васала надихає всіх поруч новою цілеспрямованістю та стійкістю.		在附庸周圍的半徑內，其盟友獲得速度加成，若為有機體則精神崩潰機率降低。附庸的統御氣場以全新的目標感與堅韌激勵著身邊的同伴。														
AbilityDef&APM_Ability_ToxicMist.label	Toxic Mist							剧毒迷雾				Токсичный туман	токсичний туман		劇毒迷霧														
AbilityDef&APM_Ability_ToxicMist.description	Similar to a tox pack, the haze releases tox gas around itself, enveloping the surrounding area in a toxic cloud.							与毒气包类似，迷雾向自身周围释放毒气，将周边笼罩在有毒的云雾之中。				Подобно токсичному пакету, мгла выпускает вокруг себя токсичный газ, окутывая окрестности ядовитым облаком.	Подібно до токс-пакета, завіса вивільняє навколо себе токсичний газ, огортаючи околиці отруйною хмарою.		與毒氣包類似，迷霧向自身周圍釋放毒氣，將周邊籠罩在有毒的雲霧之中。														
AbilityDef&APM_Shockwave.label	Shockwave							冲击波				Ударная волна	ударна хвиля		衝擊波														
AbilityDef&APM_Shockwave.description	An explosive wave that throws enemies within a radius for a certain distance							一道爆炸冲击波，将半径内的敌人击退一段距离。				Взрывная волна, отбрасывающая врагов в пределах определенного радиуса на некоторое расстояние.	Вибухова хвиля, що відкидає ворогів у межах певного радіуса на деяку відстань.		一道爆炸衝擊波，將半徑內的敵人擊退一段距離。														
BodyDef&APM_Aegis.label	Aegis							神盾				эгида	егіда		神盾														
BodyPartGroupDef&APM_LeftAegisShield.label	left shield							左盾牌				левый щит	лівий щит		左盾牌														
BodyPartGroupDef&APM_RightAegisShield.label	right shield							右盾牌				правый щит	правий щит		右盾牌														
BodyPartDef&APM_AegisShield.label	shield							盾牌				щит	щит		盾牌														
BodyDef&APM_Celerus.label	celerus							疾风				целерус	целерус		疾風														
BodyDef&APM_Conqueror.label	conqueror							征服者				завоеватель	завойовник		征服者														
BodyDef&APM_Dominus.label	dominus							主宰				доминус	домінус		主宰														
BodyDef&APM_Dynamo.label	dynamo							迪纳摩				динамо	динамо		迪納摩														
BodyPartDef&APM_DynamoBody.label	body							机身				корпус	корпус		機身														
BodyPartDef&APM_DynamoReactor.label	power core							动力核心				силовое ядро	силове ядро		動力核心														
BodyDef&APM_Frostivus.label	frostivus							霜语者				морозус	морозус		霜語者														
BodyPartDef&APM_FrostivusBody.label	body							躯体				корпус	корпус		軀體														
BodyPartDef&APM_FrostivusCryo.label	cryo chamber							低温舱				криокамера	кріокамера		低溫艙														
BodyDef&APM_Gazer.label	gazer							凝视者				созерцатель	спостерігач		凝視者														
BodyPartDef&APM_GazerHead.label	head							头部				голова	голова		頭部														
BodyPartDef&APM_GazerCoolingSystem.label	cooling system							冷却系统				система охлаждения	система охолодження		冷卻系統														
BodyPartDef&APM_GazerLaserFocus.label	laser focus							激光聚焦器				лазерный фокусировщик	фокусуюча лінза		雷射聚焦器														
BodyPartDef&APM_GazerThorax.label	thorax							胸腔				торакс	грудний відділ		胸腔														
BodyPartDef&APM_GazerPaw.label	leg							腿				нога	нога		腿														
BodyDef&APM_Haze.label	haze							迷雾				мгла	завіса		迷霧														
BodyPartDef&APM_HazeBody.label	body							机身				корпус	корпус		機身														
BodyPartDef&APM_HazeGasVent.label	gas vent							毒气排放口				газовое сопло	газовідвід		毒氣排放口														
BodyDef&APM_Ingestor.label	ingestor							吞噬者				поглотитель	поглинач		吞噬者														
BodyPartDef&APM_IngestorBody.label	body							机身				корпус	корпус		機身														
BodyPartDef&APM_IngestorMaw.label	maw							巨口				пасть	паща		巨口														
BodyPartDef&APM_IngestorRefinery.label	organic refinery							有机物精炼器				переработчик органики	переробник органіки		有機物精煉器														
BodyDef&APM_Javelin.label	javelin							标枪				джавелин	джавелін		標槍														
BodyPartDef&APM_JavelinBody.label	body							机身				корпус	корпус		機身														
BodyPartDef&APM_JavelinHead.label	head							头部				голова	голова		頭部														
BodyPartDef&APM_JavelinRefinery.label	organic refinery							有机物精炼器				переработчик органики	переробник органіки		有機物精煉器														
BodyDef&APM_Lasher.label	lasher							鞭挞者				плеть	погонич		鞭撻者														
BodyDef&APM_Mantis.label	mantis							螳螂				богомол	богомол		螳螂														
BodyPartGroupDef&APM_LeftMantisBlade.label	left cutting claw							左切割爪				левая режущая клешня	лівий ріжучий кіготь		左切割爪														
BodyPartGroupDef&APM_RightMantisBlade.label	right cutting claw							右切割爪				правая режущая клешня	правий ріжучий кіготь		右切割爪														
BodyPartDef&APM_MantisBody.label	body							机身				корпус	корпус		機身														
BodyPartDef&APM_MantisBlade.label	cutting claw							切割爪				режущий коготь	ріжучий кіготь		切割爪														
BodyDef&APM_Maul.label	maul							巨锤				молот	кришитель		巨錘														
BodyDef&APM_Pulse.label	pulse							脉冲				импульс	імпульс		脈衝														
BodyDef&APM_Ravager.label	ravager							蹂躏者				разоритель	спустошувач		蹂躪者														
BodyPartDef&APM_RavagerBody.label	body							机身				корпус	корпус		機身														
BodyDef&APM_Satellite.label	satellite							卫星				сателлит	супутник		衛星														
BodyPartDef&APM_SatelliteHoverPack.label	hover pack							悬浮背包				левитационный ранец	левітаційний ранець		懸浮背包														
BodyDef&APM_Siren.label	siren resonant frame							海妖共鸣机体				сирена	резонансна рама сирени		海妖共鳴機體														
BodyPartDef&APM_SirenHead.label	resonance crown							共鸣王冠				резонансная корона	резонансна корона		共鳴王冠														
BodyPartDef&APM_VocalSynthesizer.label	vocal synthesizer							声学合成器				голосовой синтезатор	голосовий синтезатор		聲學合成器														
BodyPartDef&APM_PsychicResonator.label	psychic resonator							灵能共鸣器				психический резонатор	психічний резонатор		靈能共鳴器														
BodyPartDef&APM_SirenResonanceCore.label	resonance core							共鸣核心				резонансное ядро	резонансне ядро		共鳴核心														
BodyPartDef&APM_BroadcastArray.label	broadcast array							广播阵列				вещательная матрица	мовний масив		廣播陣列														
BodyDef&APM_Terminus.label	terminus							终焉				терминус	термінус		終焉														
BodyDef&APM_Tinker.label	tinker							修补匠				тинкер	майстер		修補匠														
BodyPartDef&APM_TinkerRepairModule.label	repair module							维修模块				ремонтный модуль	ремонтний модуль		維修模組														
BodyDef&APM_Vassal.label	vassal							附庸				вассал	васал		附庸														
DamageDef&APM_JavelinWarhead.label	javelin warhead							标枪弹头				боеголовка «Джавелина»	бойова частина джавеліна		標槍彈頭														
DamageDef&APM_GazerBeam.label	gazer beam							凝视者光束				луч созерцателя	вогнева позиція Спостерігача		凝視者光束														
DamageDef&APM_SunRay.label	sun ray							太阳光线				солнечный луч	сонячний промінь		太陽光線														
DamageDef&Push.label	push damage							冲击伤害				урон от толчка	поштовх		衝擊傷害														
DamageDef&APM_Shockwave.label	shockwave							冲击波				ударная волна	ударна хвиля		衝擊波														
DesignationDef&APM_IngestorAbsorbCorpse.label	recycle biomass							回收生物质				переработать биомассу	переробити біомасу		回收生物質														
ThingDef&APM_PulseWaveBlindFlash.label	pulse wave flash							脉冲波闪光				вспышка импульсной волны	спалах імпульсної хвилі		脈衝波閃光														
ThingDef&APM_ShockwaveFlash.label	shockwave flash							冲击波闪光				вспышка ударной волны	спалах ударної хвилі		衝擊波閃光														
HediffDef&APM_ApexMechanoid_Floating.label	Floating							悬浮				парение	левітація		懸浮														
HediffDef&APM_ApexMechanoid_Floating.labelNoun	Floating							悬浮				парение	ширяння		懸浮														
HediffDef&APM_ApexMechanoid_Floating.description	This mechanoid hovers above the ground, ignoring all terrain movement penalties.							这台机械体悬浮于地面之上，无视所有地形带来的移动惩罚。				Этот механоид парит над землей, игнорируя любые штрафы к скорости от ландшафта.	Цей механоїд ширяє над землею, ігноруючи будь-які штрафи до швидкості пересування від ландшафту.		這台機械體懸浮於地面之上，無視所有地形帶來的移動懲罰。														
HediffDef&APM_Hediff_Devoured.label	devoured							被吞噬				поглощён(а)	поглинання		被吞噬														
HediffDef&APM_Hediff_Devoured.description	Sealed inside a Frostivus cryo-chamber. All biological processes are suspended - no bleeding, no sickness progression, no needs.							被封入霜语者低温舱内。生物进程暂停，直到被释放。				Запечатан(а) внутри криокамеры Фростивуса. Все биологические процессы приостановлены — нет кровотечения, развития болезней и потребностей.	Запечатаний усередині кріокамери Frostivus. Біологічні процеси призупинені до випуску.		被封入霜語者低溫艙內。生物程序暫停，直到被釋放。														
HediffDef&APM_Hediff_JavelinMissileLock.label	missile lock							导弹锁定				захват цели	ракетний захват цілі		飛彈鎖定														
HediffDef&APM_Hediff_JavelinMissileLock.description	Seeker heads from a javelin missile rack have logged this target's hull profile. Every rocket that finds it again is fused to bite deeper than the last, until the lock fades.							标枪导弹发射架的导引头已记录下该目标的装甲轮廓。此后每一枚再次命中它的火箭，引信都会咬得比上一枚更深，直到锁定消退。				Головки самонаведения ракетной установки «Джавелина» зафиксировали профиль корпуса этой цели. Каждая следующая попавшая ракета проникает глубже предыдущей, пока захват не спадёт.	Головки самонаведення ракетної установки «Джавеліна» зафіксували профіль корпусу цієї цілі. Кожна наступна ракета, що влучає в неї знову, проникає глибше за попередню, доки захоплення не спаде.		標槍飛彈發射架的導引頭已記錄下該目標的裝甲輪廓。此後每一枚再次命中它的火箭，引信都會咬得比上一枚更深，直到鎖定消退。														
HediffDef&APM_Hediff_JavelinMissileLock.stages.0.label	missile lock							导弹锁定				захват цели	захоплення цілі		飛彈鎖定														
HediffDef&APM_Hediff_SteelDiscipline.label	steel discipline							钢铁纪律				стальная дисциплина	сталева дисципліна		鋼鐵紀律														
HediffDef&APM_Hediff_SteelDiscipline.description	Inspired by the Vassal's commanding presence, this unit moves with renewed purpose and mental fortitude.							受到附庸统御气场的激励，这个单位重新带着目标感与精神韧性投入行动。				Вдохновленная присутствием Вассала, эта единица двигается с новой целеустремленностью и стойкостью духа.	Натхнений командною присутністю Васала, цей підрозділ рухається з новою цілеспрямованістю та стійкістю духу.		受到附庸統御氣場的激勵，這個單位重新帶著目標感與精神韌性投入行動。														
ThoughtDef&APM_Thought_InspiredByDiscipline.stages.0.label	inspired by discipline							为纪律所激励				вдохновлён дисциплиной	натхненний дисципліною		為紀律所激勵														
ThoughtDef&APM_Thought_InspiredByDiscipline.stages.0.description	The commanding presence of our mechanical ally fills me with discipline and purpose.							我们机械盟友那统御般的存在，让我心中充满纪律与目标感。				Властное присутствие нашего механического союзника наполняет меня дисциплиной и целеустремлённостью.	Командна присутність нашого механічного союзника сповнює мене дисципліною і цілеспрямованістю.		我們機械盟友那統御般的存在，讓我心中充滿紀律與目標感。														
HediffDef&APM_Hediff_Unity.label	unity uplink							统合连接				канал единства	канал єдності		統合連接														
HediffDef&APM_Hediff_Unity.description	Conquerors are by default installed with processing units that automatically attempt to link with those of allies in the vicinity to assist each other with internal calculations, boosting their efficiency the more nearby.							征服者默认配备运算单元，会自动尝试与附近友军的运算单元建立连接，互相协助进行内部运算；周围友军越多，效率提升越明显。				Завоеватели по умолчанию оснащены вычислительными блоками, которые автоматически пытаются связываться с блоками находящихся поблизости союзников для совместных внутренних вычислений, повышая свою эффективность с каждым соседним соратником.	Завойовники штатно оснащені обчислювальними блоками, які автоматично намагаються з'єднатися з блоками союзників поблизу, щоб допомагати одне одному з внутрішніми обчисленнями, підвищуючи ефективність щоразу, як поруч опиняється ще один союзник.		征服者預設配備運算單元，會自動嘗試與附近友軍的運算單元建立連接，互相協助進行內部運算；周圍友軍越多，效率提升越明顯。														
HediffDef&APM_Hediff_Unity.stages.1.label	calculation link (minimal)							运算连接（最低）				вычислительная связь (минимальная)	обчислювальний зв'язок (мінімальний)		運算連接（最低）														
HediffDef&APM_Hediff_Unity.stages.2.label	calculation link (low sync)							运算连接（低同步）				вычислительная связь (слабая синхронизация)	обчислювальний зв'язок (слабка синхронізація)		運算連接（低同步）														
HediffDef&APM_Hediff_Unity.stages.3.label	calculation link (medium sync)							运算连接（中同步）				вычислительная связь (средняя синхронизация)	обчислювальний зв'язок (середня синхронізація)		運算連接（中同步）														
HediffDef&APM_Hediff_Unity.stages.4.label	calculation link (distributed)							运算连接（分布式）				вычислительная связь (распределенная)	обчислювальний зв'язок (розподілений)		運算連接（分散式）														
HediffDef&APM_Hediff_Unity.stages.5.label	calculation link (high sync)							运算连接（高同步）				вычислительная связь (высокая синхронизация)	обчислювальний зв'язок (висока синхронізація)		運算連接（高同步）														
HediffDef&APM_Hediff_Unity.stages.6.label	calculation link (optimized)							运算连接（已优化）				вычислительная связь (оптимизированная)	обчислювальний зв'язок (оптимізований)		運算連接（已最佳化）														
HediffDef&APM_Hediff_Unity.stages.7.label	calculation link (peak efficiency)							运算连接（峰值效率）				вычислительная связь (пиковая эффективность)	обчислювальний зв'язок (пікова ефективність)		運算連接（峰值效率）														
HediffDef&APM_ApexMechanoid_HealOnKills.label	Vampiric Mechanites							嗜血机械微粒				вампирические механиты	вампіричні механіти		嗜血機械微粒														
HediffDef&APM_ApexMechanoid_HealOnKills.labelNoun	Vampiric							吸血				вампиризм	вампіризм		吸血														
HediffDef&APM_ApexMechanoid_HealOnKills.description	These mechanites bank charges whenever their host downs or kills a target, then spend those charges to self-repair when the host is damaged.							每当宿主击倒或击杀一个目标，这些纳米机械体就会积攒充能，并在宿主受伤时消耗充能进行自我修复。				Эти механиты накапливают заряды каждый раз, когда их носитель низвергает или убивает цель, а затем расходуют их на саморемонт при получении урона.	Ці механіти накопичують заряди щоразу, коли їхній носій звалює або вбиває ціль, а потім витрачають їх на саморемонт, коли носій зазнає пошкоджень.		每當宿主擊倒或擊殺一個目標，這些奈米機械體就會積攢充能，並在宿主受傷時消耗充能進行自我修復。														
HediffDef&APM_AbsorbedThing.label	recycling biomass							回收生物质中				переработка биомассы	переробка біомаси		回收生物質中														
HediffDef&APM_AbsorbedThing.description	Processing absorbed biomass into chemfuel.							将吸收的生物质加工成化学燃料。				Переработка поглощённой биомассы в химтопливо.	Переробка поглинутої біомаси на хімпаливо.		將吸收的生物質加工成化學燃料。														
HediffDef&APM_CelerusSmokescreenBuff.label	Smokescreen							烟幕				дымовая завеса	димова завіса		煙幕														
HediffDef&APM_CelerusSmokescreenBuff.description	Celerus hiding in smoke							疾风藏身于烟幕之中。				Целерус скрывается в дыму.	Целерус ховається в диму.		疾風藏身於煙幕之中。														
HediffDef&APM_InDuel.label	in duel							决斗中				в дуэли	у поєдинку		決鬥中														
HediffDef&APM_InDuel.description	Locked in a duel. A shield arena has been conjured around both combatants, blocking all ranged attacks and abilities for the duration. Incoming damage is greatly increased to force decisive action — the duel is meant to end quickly and brutally. All healing is suppressed within the arena, save for what little may be drawn from striking the enemy. Should either combatant be downed or slain, the survivor claims victory. Should time expire with both still standing, the duel ends in a draw — and both pay the price.							已锁定于决斗之中。双方斗士周围已生成一座护盾竞技场，期间所有远程攻击与能力都被封锁。所受伤害大幅提高，以迫使双方做出决断——决斗本就该迅速而残酷地结束。竞技场内的一切治疗都被压制，唯有从打击敌人中汲取的少量回复除外。若任何一方被击倒或杀死，幸存者即宣告胜利；若时间耗尽时双方仍屹立不倒，则决斗以平局收场——双方都将为此付出代价。				Учавствует(а) в дуэли. Вокруг обоих бойцов сотворен защитный купол, блокирующий все дальние атаки и способности на время поединка. Входящий урон значительно увеличен, чтобы принудить к решительным действиям — дуэль должна завершиться быстро и жестоко. Любое лечение внутри арены подавлено, за исключением того малого количества, что высасывается при ударах по врагу. Если один из участников повержен или убит, выживший побеждает. Если время истечет, а оба всё еще стоят на ногах, дуэль закончится ничьей — и оба заплатят свою цену.	«Випробування поєдинком» кидає виклик вибраному ворожому персонажу, змушуючи опонентів на короткий час вступити в ближній бій. Здібності та далекі атаки вимикаються. Навколо учасників поєдинку на час дії здібності автоматично створюється візуальна «арена». Інші персонажі не можуть обирати учасників поєдинку своєю ціллю. Якщо один із опонентів гине в поєдинку, переможець отримує потужний тимчасовий бонус. Якщо поєдинок не завершується смертю (час вийшов), обидва учасники отримують значний штраф. Учасники поєдинку отримують періодичний урон кожну секунду поєдинку. Це заохочує агресію й гарантує, що поєдинок рідко закінчується «нічиєю» за часом. Будь-яке відновлення здоров'я учасників під час поєдинку заблоковано (за винятком можливого вампіризму від атак).		已鎖定於決鬥之中。雙方鬥士周圍已生成一座護盾競技場，期間所有遠程攻擊與能力都被封鎖。所受傷害大幅提高，以迫使雙方做出決斷——決鬥本就該迅速而殘酷地結束。競技場內的一切治療都被壓制，唯有從打擊敵人中汲取的少量回復除外。若任何一方被擊倒或殺死，倖存者即宣告勝利；若時間耗盡時雙方仍屹立不倒，則決鬥以平局收場——雙方都將為此付出代價。														
HediffDef&APM_DuelWinner.label	duel winner							决斗胜利者				победитель дуэли	переможець поєдинку		決鬥勝利者														
HediffDef&APM_DuelWinner.description	This combatant has emerged victorious from the arena. Each duel won sharpens their edge — reflexes quicken, strikes land harder and the enemy's blows are turned aside with growing ease. The longer this warrior's unbroken winning streak the more formidable they become. The glory fades with time but the memory of victory lingers.							这名斗士已在竞技场中胜出。每赢下一场决斗都会让他的锋芒更加锐利——反应更快、打击更重，敌人的攻击也愈发容易被挡开。连胜的场次越长，这名战士就越发可畏。荣光会随时间褪去，但胜利的余韵仍在。				Этот боец вышел победителем из арены. Каждая выигранная дуэль оттачивает его мастерство — рефлексы ускоряются, удары становятся сильнее, а вражеские выпады отражаются всё проще. Чем длиннее неразрывная серия побед, тем опаснее становится этот воин. Слава со временем угасает, но память о победе остается.	Цей боєць вийшов переможцем з арени. Кожен виграний поєдинок відточує його майстерність: рефлекси пришвидшуються, удари стають сильнішими, а ворожі випади дедалі легше відбивати. Що довша безперервна серія перемог цього воїна, то грізнішим він стає. Слава з часом згасає, але пам'ять про перемогу лишається.		這名鬥士已在競技場中勝出。每贏下一場決鬥都會讓他的鋒芒更加銳利——反應更快、打擊更重，敵人的攻擊也愈發容易被擋開。連勝的場次越長，這名戰士就越發可畏。榮光會隨時間褪去，但勝利的餘韻仍在。														
HediffDef&APM_DuelWinner.stages.0.label	stolen thread (1 win)							窃线（1 胜）				похищенная нить (1 победа)	перемог: 1		竊線（1 勝）														
HediffDef&APM_DuelWinner.stages.1.label	array expansion (2 wins)							阵列扩张（2 胜）				расширение матрицы (2 победы)	перемог: 2		陣列擴張（2 勝）														
HediffDef&APM_DuelWinner.stages.2.label	grid dominance (3 wins)							网络支配（3 胜）				доминирование в сети (3 победы)	перемог: 3		網路支配（3 勝）														
HediffDef&APM_DuelWinner.stages.3.label	kinetic overclock (4 wins)							动能超频（4 胜）				кинетический разгон (4 победы)	перемог: 4		動能超頻（4 勝）														
HediffDef&APM_DuelWinner.stages.4.label	core assimilation (5 wins)							核心同化（5 胜）				ассимиляция ядра (5 побед)	перемог: 5		核心同化（5 勝）														
HediffDef&APM_DuelWinner.stages.5.label	neural saturation (6 wins)							神经饱和（6 胜）				нейронное насыщение (6 побед)	перемог: 6		神經飽和（6 勝）														
HediffDef&APM_DuelWinner.stages.6.label	algorithmic apex (7 wins)							算法巅峰（7 胜）				алгоритмическое возвышение (7 побед)	перемог: 7		演算法巔峰（7 勝）														
HediffDef&APM_DuelWinner.stages.7.label	singularity vector (8 wins)							奇点矢量（8 胜）				вектор сингулярности (8 побед)	вектор сингулярності (8 перемог)		奇異點向量（8 勝）														
HediffDef&APM_DuelWinner.stages.8.label	network monarch (9 wins)							网络君主（9 胜）				повелитель сети (9 побед)	володар мережі (9 перемог)		網路君主（9 勝）														
HediffDef&APM_DuelWinner.stages.9.label	absolute supremacy (10 wins)							绝对优势（10 胜）				абсолютное превосходство (10 побед)	абсолютна перевага (10 перемог)		絕對優勢（10 勝）														
HediffDef&APM_DuelDraw.label	duel draw							决斗平局				ничья в дуэли	нічия в поєдинку		決鬥平局														
